PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
0,Aruba,,2020-08-01,0,1,1,0,0,2,1,3,1,2,0,2
0,Aruba,,2020-08-02,0,2,0,1,1,1,1,0,0,0,1,3
0,Aruba,,2020-08-03,0,0,1,3,0,1,1,2,1,1,0,3
0,Aruba,,2020-08-04,1,2,1,3,0,2,1,2,1,2,1,2
0,Afghanistan,,2020-08-01,1,1,1,1,0,0,0,3,1,1,0,3
0,Afghanistan,,2020-08-02,2,1,0,0,1,1,0,3,1,1,1,1
0,Afghanistan,,2020-08-03,2,1,1,3,0,2,0,0,1,2,0,1
0,Afghanistan,,2020-08-04,1,2,1,1,1,2,0,0,0,1,0,2
0,Angola,,2020-08-01,1,0,1,2,0,2,0,0,0,2,1,1
0,Angola,,2020-08-02,0,0,0,1,1,0,1,1,0,2,1,1
0,Angola,,2020-08-03,1,1,1,1,0,1,0,1,0,1,0,2
0,Angola,,2020-08-04,1,2,0,1,1,2,1,3,0,0,1,2
0,Albania,,2020-08-01,2,0,1,0,0,2,0,3,0,2,1,1
0,Albania,,2020-08-02,2,2,0,2,1,1,0,0,0,2,0,0
0,Albania,,2020-08-03,1,2,1,0,1,1,0,1,0,2,1,3
0,Albania,,2020-08-04,0,0,1,0,0,1,1,2,1,1,1,1
0,Andorra,,2020-08-01,1,1,1,1,1,2,0,3,0,2,0,0
0,Andorra,,2020-08-02,0,1,1,1,1,2,1,3,0,0,0,0
0,Andorra,,2020-08-03,0,1,1,2,1,0,0,0,0,0,0,2
0,Andorra,,2020-08-04,2,2,1,1,1,2,1,1,1,0,0,0
0,United Arab Emirates,,2020-08-01,0,0,0,1,1,1,1,0,1,1,1,1
0,United Arab Emirates,,2020-08-02,1,2,0,2,1,2,1,0,0,2,1,0
0,United Arab Emirates,,2020-08-03,1,0,0,3,1,0,1,3,0,1,1,3
0,United Arab Emirates,,2020-08-04,2,0,0,3,1,0,1,1,1,0,1,0
0,Argentina,,2020-08-01,0,1,0,3,0,1,0,2,0,0,0,1
0,Argentina,,2020-08-02,0,1,0,3,1,0,0,0,0,2,1,1
0,Argentina,,2020-08-03,0,0,0,0,0,1,0,3,1,2,0,2
0,Argentina,,2020-08-04,2,1,0,2,1,1,1,0,0,0,1,3
0,Australia,,2020-08-01,0,1,1,3,0,0,1,0,1,2,0,3
0,Australia,,2020-08-02,0,2,1,1,1,2,1,0,1,2,0,1
0,Australia,,2020-08-03,1,2,0,2,1,1,1,2,0,0,1,2
0,Australia,,2020-08-04,1,2,0,2,0,2,0,0,1,0,0,2
0,Austria,,2020-08-01,2,1,0,2,1,1,1,3,0,1,1,0
0,Austria,,2020-08-02,2,2,1,2,0,1,1,3,0,0,1,1
0,Austria,,2020-08-03,2,0,0,2,1,1,0,3,1,0,0,1
0,Austria,,2020-08-04,1,0,0,0,0,2,1,1,1,0,0,3
0,Azerbaijan,,2020-08-01,0,2,1,0,0,2,0,2,1,0,1,2
0,Azerbaijan,,2020-08-02,2,1,1,3,0,0,0,0,1,2,0,2
0,Azerbaijan,,2020-08-03,1,2,1,0,1,1,0,0,1,0,0,1
0,Azerbaijan,,2020-08-04,0,1,1,0,0,2,0,2,1,0,1,1
0,Burundi,,2020-08-01,1,1,0,2,0,2,0,3,0,2,1,3
0,Burundi,,2020-08-02,0,0,0,3,1,0,0,0,1,1,0,2
0,Burundi,,2020-08-03,0,0,1,0,0,2,1,1,0,1,1,3
0,Burundi,,2020-08-04,2,0,1,0,0,1,0,3,1,0,0,0
0,Belgium,,2020-08-01,2,0,1,1,1,2,0,2,0,0,0,3
0,Belgium,,2020-08-02,2,2,0,0,1,0,0,1,1,1,0,1
0,Belgium,,2020-08-03,2,1,0,0,1,0,1,1,1,1,0,1
0,Belgium,,2020-08-04,2,1,1,3,0,2,0,3,0,1,0,2
0,Benin,,2020-08-01,1,0,1,1,0,1,0,1,1,2,0,2
0,Benin,,2020-08-02,2,2,1,0,1,1,1,2,1,0,0,0
0,Benin,,2020-08-03,2,2,1,1,1,2,1,3,1,0,1,0
