Code,country,Population_2020,area,density
ABW,Aruba,106766,180,593.1444
AFG,Afghanistan,38928346,652230,59.685
AGO,Angola,32866272,1246700,26.3626
ALB,Albania,2877797,28748,100.1043
AND,Andorra,77265,468,165.0962
ARE,United Arab Emirates,9890402,83600,118.3062
ARG,Argentina,45195774,2780400,16.2551
AUS,Australia,25499884,7692024,3.3151
AUT,Austria,9006398,83871,107.3839
AZE,Azerbaijan,10139177,86600,117.0806
BDI,Burundi,11890784,27834,427.2036
BEL,Belgium,11589623,30528,379.6391
BEN,Benin,12123200,112622,107.645
BFA,Burkina Faso,20903273,272967,76.578
BGD,Bangladesh,164689383,147570,1116.0086
BGR,Bulgaria,6948445,110879,62.6669
BHR,Bahrain,1701575,765,2224.281
BHS,Bahamas,393244,13943,28.2037
BIH,Bosnia and Herzegovina,3280819,51209,64.0672
BLR,Belarus,9449323,207600,45.517
BLZ,Belize,397628,22966,17.3138
BMU,Bermuda,62278,54,1153.2963
BOL,Bolivia,11673021,1098581,10.6255
BRA,Brazil,212559417,8515767,24.9607
BRB,Barbados,287375,430,668.314
BRN,Brunei,437479,5765,75.8853
BTN,Bhutan,771608,38394,20.0971
BWA,Botswana,2351627,582000,4.0406
CAF,Central African Republic,4829767,622984,7.7526
CAN,Canada,37742154,9984670,3.78
CHE,Switzerland,8654622,41284,209.6362
CHL,Chile,19116201,756102,25.2826
CHN,China,1439323776,9706961,148.2775
CIV,Ivory Coast,26378274,322463,81.8025
CMR,Cameroon,26545863,475442,55.8341
COD,DR Congo,89561403,2344858,38.1948
COG,Republic of the Congo,5518087,342000,16.1348
COL,Colombia,50882891,1141748,44.5658
COM,Comoros,869601,1862,467.0252
CPV,Cape Verde,555987,4033,137.8594
CRI,Costa Rica,5094118,51100,99.6892
CUB,Cuba,11326616,109884,103.0779
CYP,Cyprus,1207359,9251,130.5112
CZE,Czech Republic,10708981,78865,135.7888
DEU,Germany,83783942,357114,234.614
DJI,Djibouti,988000,23200,42.5862
DMA,Dominica,71986,751,95.8535
DNK,Denmark,5792202,43094,134.4085
DOM,Dominican Republic,10847910,48671,222.8824
DZA,Algeria,43851044,2381741,18.4113
ECU,Ecuador,17643054,276841,63.7299
EGY,Egypt,102334404,1002450,102.0843
ERI,Eritrea,3546421,117600,30.1566
ESP,Spain,46754778,505992,92.4022
EST,Estonia,1326535,45227,29.3306
ETH,Ethiopia,114963588,1104300,104.1054
FIN,Finland,5540720,338424,16.3721
FJI,Fiji,896445,18272,49.0611
FRA,France,65273511,551695,118.3145
FRO,Faroe Islands,48863,1393,35.0775
GAB,Gabon,2225734,267668,8.3153
GBR,United Kingdom,67886011,242900,279.4813
GEO,Georgia,3989167,69700,57.2334
GHA,Ghana,31072940,238533,130.2668
GIN,Guinea,13132795,245857,53.4164
GMB,Gambia,2416668,10689,226.0893
GRC,Greece,10423054,131990,78.9685
GRL,Greenland,56770,2166086,0.0262
GTM,Guatemala,17915568,108889,164.5306
GUM,Guam,168775,549,307.4226
GUY,Guyana,786552,214969,3.6589
HKG,Hong Kong,7496981,1104,6790.7437
HND,Honduras,9904607,112492,88.0472
HRV,Croatia,4105267,56594,72.5389
HTI,Haiti,11402528,27750,410.9019
HUN,Hungary,9660351,93028,103.8435
IDN,Indonesia,273523615,1904569,143.6144
IND,India,1380004385,3287590,419.7617
IRL,Ireland,4937786,70273,70.2658
IRN,Iran,83992949,1648195,50.9606
IRQ,Iraq,40222493,438317,91.7658
ISL,Iceland,341243,103000,3.313
ISR,Israel,8655535,20770,416.7325
ITA,Italy,60461826,301336,200.6459
JAM,Jamaica,2961167,10991,269.4174
JOR,Jordan,10203134,89342,114.2031
JPN,Japan,126476461,377930,334.6558
KAZ,Kazakhstan,18776707,2724900,6.8908
KEN,Kenya,53771296,580367,92.6505
KGZ,Kyrgyzstan,6524195,199951,32.629
KHM,Cambodia,16718965,181035,92.3521
KOR,South Korea,51269185,100210,511.6175
KWT,Kuwait,4270571,17818,239.6773
LAO,Laos,7275560,236800,30.7245
LBN,Lebanon,6825445,10452,653.0277
LBR,Liberia,5057681,111369,45.4137
LBY,Libya,6871292,1759540,3.9052
LKA,Sri Lanka,21413249,65610,326.3717
LSO,Lesotho,2142249,30355,70.5732
LTU,Lithuania,2722289,65300,41.689
LUX,Luxembourg,625978,2586,242.0642
LVA,Latvia,1886198,64559,29.2167
MAC,Macau,649335,30,21644.5
MAR,Morocco,36910560,446550,82.6572
MCO,Monaco,39242,2,19621
MDA,Moldova,4033963,33846,119.1858
MDG,Madagascar,27691018,587041,47.1705
MEX,Mexico,128932753,1964375,65.6355
MLI,Mali,20250833,1240192,16.3288
MMR,Myanmar,54409800,676578,80.4191
MNG,Mongolia,3278290,1564110,2.0959
MOZ,Mozambique,31255435,801590,38.9918
MRT,Mauritania,4649658,1030700,4.5112
MUS,Mauritius,1271768,2040,623.4157
MWI,Malawi,19129952,118484,161.456
MYS,Malaysia,32365999,330803,97.8407
NAM,Namibia,2540905,825615,3.0776
NER,Niger,24206644,1267000,19.1055
NGA,Nigeria,206139589,923768,223.1508
NIC,Nicaragua,6624554,130373,50.8123
NLD,Netherlands,17134872,41850,409.4354
NOR,Norway,5421241,323802,16.7425
NPL,Nepal,29136808,147181,197.9658
NZL,New Zealand,4822233,270467,17.8293
OMN,Oman,5106626,309500,16.4996
PAK,Pakistan,220892340,881912,250.4698
PAN,Panama,4314767,75417,57.2121
PER,Peru,32971854,1285216,25.6547
PHL,Philippines,109581078,342353,320.0821
PNG,Papua New Guinea,8947024,462840,19.3307
POL,Poland,37846611,312679,121.0398
PRI,Puerto Rico,2860853,8870,322.5313
PRT,Portugal,10196709,92090,110.7255
PRY,Paraguay,7132538,406752,17.5353
PSE,Palestine,5101414,6220,820.163
QAT,Qatar,2881053,11586,248.6668
RKS,Kosovo,1811414,10887,166.4
ROU,Romania,19237691,238391,80.6981
RUS,Russia,145934462,17098242,8.5351
RWA,Rwanda,12952218,26338,491.7692
