CountryName,RegionName,density_perkm2
Aruba,,593
Afghanistan,,60
Angola,,26
Albania,,100
Andorra,,165
United Arab Emirates,,118
Argentina,,16
Australia,,3
Austria,,107
Azerbaijan,,117
Burundi,,427
Belgium,,380
Benin,,108
Burkina Faso,,77
Bangladesh,,1116
Bulgaria,,63
Bahrain,,2224
Bahamas,,28
Bosnia and Herzegovina,,64
Belarus,,46
Belize,,17
Bermuda,,1153.3
Bolivia,,11
Brazil,,25
Barbados,,668
Brunei,,76
Bhutan,,20
Botswana,,4
Central African Republic,,8
Canada,,4
Switzerland,,210
Chile,,25
China,,148
Cote d'Ivoire,,82
Cameroon,,56
Democratic Republic of Congo,,38
Congo,,16
Colombia,,45
Comoros,,467
Cape Verde,,138
Costa Rica,,100
Cuba,,103
Cyprus,,131
Czech Republic,,136
Germany,,235
Djibouti,,43
Dominica,,96
Denmark,,134
Dominican Republic,,223
Algeria,,18
Ecuador,,64
Egypt,,102
Eritrea,,30
Spain,,92
Estonia,,29
Ethiopia,,104
Finland,,16
Fiji,,49
France,,118
Faeroe Islands,,35
Gabon,,8
United Kingdom,,279
Georgia,,57
Ghana,,130
Guinea,,53
Gambia,,226
Greece,,79
Greenland,,0
Guatemala,,165
Guam,,307
Guyana,,4
Hong Kong,,6791
Honduras,,88
Croatia,,73
Haiti,,411
Hungary,,104
Indonesia,,144
India,,420
Ireland,,70
Iran,,51
Iraq,,92
Iceland,,3
Israel,,417
Italy,,201
Jamaica,,269
Jordan,,114
Japan,,335
Kazakhstan,,7
Kenya,,93
Kyrgyz Republic,,33
Cambodia,,92
South Korea,,512
Kuwait,,240
Laos,,31
Lebanon,,653
Liberia,,45
Libya,,4
Sri Lanka,,326
Lesotho,,71
Lithuania,,42
Luxembourg,,242
Latvia,,29
Macao,,21644
Morocco,,83
Monaco,,19621
Moldova,,119
Madagascar,,47
Mexico,,66
Mali,,16
Myanmar,,80
Mongolia,,2
Mozambique,,39
Mauritania,,5
Mauritius,,623
Malawi,,161
Malaysia,,98
Namibia,,3
Niger,,19
Nigeria,,223
Nicaragua,,51
Netherlands,,409
Norway,,17
Nepal,,198
New Zealand,,18
Oman,,17
Pakistan,,250
Panama,,57
Peru,,26
Philippines,,320
Papua New Guinea,,19
Poland,,121
Puerto Rico,,323
Portugal,,111
Paraguay,,18
Palestine,,820
Qatar,,249
Kosovo,,166
Romania,,81
Russia,,9
Rwanda,,492
Saudi Arabia,,16
Sudan,,23
Senegal,,85
Singapore,,8240
Solomon Islands,,24
Sierra Leone,,111
El Salvador,,308
San Marino,,556
Somalia,,25
Serbia,,99
South Sudan,,18
Suriname,,4
Slovak Republic,,111
Slovenia,,103
Sweden,,22
Eswatini,,67
Seychelles,,218
Syria,,95
Chad,,13
Togo,,146
Thailand,,136
Tajikistan,,67
Timor-Leste,,89
Trinidad and Tobago,,273
Tunisia,,72
Turkey,,108
Taiwan,,658
Tanzania,,63
Uganda,,189
Ukraine,,72
Uruguay,,19
United States,,35
Uzbekistan,,75
Venezuela,,31
Vietnam,,294
Vanuatu,,25
Yemen,,56
South Africa,,49
Zambia,,24
Zimbabwe,,38
United Kingdom,England,407
United Kingdom,Northern Ireland,131
United Kingdom,Scotland,67
United Kingdom,Wales,147
United States,Alaska,1
United States,Alabama,37
United States,Arkansas,23
United States,Arizona,25
United States,California,99
United States,Colorado,22
United States,Connecticut,284
United States,Washington DC,4562
United States,Delaware,195
United States,Florida,158
United States,Georgia,72
United States,Hawaii,85
United States,Iowa,22
United States,Idaho,9
United States,Illinois,88
United States,Indiana,73
United States,Kansas,14
United States,Kentucky,44
United States,Louisiana,42
United States,Massachusetts,345
United States,Maryland,242
United States,Maine,17
United States,Michigan,69
United States,Minnesota,28
United States,Missouri,35
United States,Mississippi,25
United States,Montana,3
United States,North Carolina,84
United States,North Dakota,4
United States,Nebraska,10
United States,New Hampshire,59
United States,New Jersey,469
United States,New Mexico,7
United States,Nevada,11
United States,New York,159
United States,Ohio,111
United States,Oklahoma,22
United States,Oregon,17
United States,Pennsylvania,111
United States,Rhode Island,394
United States,South Carolina,67
United States,South Dakota,5
United States,Tennessee,65
United States,Texas,44
United States,Utah,15
United States,Virginia,84
United States,Virgin Islands,301
United States,Vermont,26
United States,Washington,45
United States,Wisconsin,42
United States,West Virginia,28
United States,Wyoming,2
