,CountryName,CountryCode,imf_region
0,Afghanistan,AFG,LowIncomeOthers
1,Albania,ALB,LowIncomeOthers
2,Algeria,DZA,EmergingMiddleEast
3,Andorra,AND,Euro
4,Angola,AGO,EmergingAfrica
5,Argentina,ARG,EmergingLatinAmerica
6,Aruba,ABW,EmergingLatinAmerica
7,Australia,AUS,HighIncomeOthers
8,Austria,AUT,Euro
9,Azerbaijan,AZE,EmergingEurope
10,Bahamas,BHS,EmergingLatinAmerica
11,Bahrain,BHR,EmergingMiddleEast
12,Bangladesh,BGD,LowIncomeAsia
13,Barbados,BRB,EmergingLatinAmerica
14,Belarus,BLR,EmergingEurope
15,Belgium,BEL,Euro
16,Belize,BLZ,LowIncomeLatinAmerica
17,Benin,BEN,LowIncomeAfrica
18,Bermuda,BMU,EmergingLatinAmerica
19,Bhutan,BTN,EmergingAsia
20,Bolivia,BOL,EmergingLatinAmerica
21,Bosnia and Herzegovina,BIH,EmergingEurope
22,Botswana,BWA,LowIncomeAfrica
23,Brazil,BRA,EmergingLatinAmerica
24,Brunei,BRN,EmergingAsia
25,Bulgaria,BGR,EmergingEurope
26,Burkina Faso,BFA,LowIncomeAfrica
27,Burundi,BDI,LowIncomeAfrica
28,Cambodia,KHM,LowIncomeAsia
29,Cameroon,CMR,LowIncomeAfrica
30,Canada,CAN,HighIncomeOthers
31,Cape Verde,CPV,LowIncomeAfrica
32,Central African Republic,CAF,LowIncomeAfrica
33,Chad,TCD,LowIncomeAfrica
34,Chile,CHL,EmergingLatinAmerica
35,China,CHN,EmergingAsia
36,Colombia,COL,EmergingLatinAmerica
37,Comoros,COM,EmergingAfrica
38,Congo,COG,EmergingAfrica
39,Costa Rica,CRI,EmergingLatinAmerica
40,Cote d'Ivoire,CIV,LowIncomeAfrica
41,Croatia,HRV,EmergingEurope
42,Cuba,CUB,EmergingLatinAmerica
43,Cyprus,CYP,Euro
44,Czech Republic,CZE,EmergingEurope
45,Democratic Republic of Congo,COD,LowIncomeAfrica
46,Denmark,DNK,Euro
47,Djibouti,DJI,LowIncomeAfrica
