,imf_region,CountryCode,economic_freedom,gni_per_capita,human_development,life_expectancy,average_years_school,political_regime
0,EmergingAfrica,AGO,5.166512658,5789.86151068948,0.581,61.147,5.1,-2.0
1,EmergingAfrica,COG,5.0329102,5694.22101104242,0.606,64.57,6.3,-4.0
2,EmergingAfrica,COM,6.404970254857143,7802.450073151001,0.503,64.321,4.8,9.0
3,EmergingAfrica,MUS,7.995281457000001,7802.450073151001,0.79,74.991,9.3,10.0
4,EmergingAfrica,SWZ,6.4707809539999985,7802.450073151001,0.588,60.194,6.5,-9.0
5,EmergingAfrica,SYC,7.234818257000001,7802.450073151001,0.797,73.402,9.5,2.857142857142857
6,EmergingAfrica,TUN,6.276433717000001,7802.450073151001,0.735,76.699,7.2,7.0
7,EmergingAfrica,ZAF,6.658054541,11923.267697721101,0.6990000000000001,64.131,10.1,9.0
8,EmergingAsia,BRN,6.941173001,76427.210320436,0.853,75.86,9.1,3.0833333333333335
9,EmergingAsia,CHN,6.451520582000001,15269.761243578501,0.752,76.91199999999998,7.8,-7.0
10,EmergingAsia,FJI,6.808111222999999,36256.57339473535,0.741,67.444,10.8,2.0
11,EmergingAsia,GUM,7.268143977166666,36256.57339473535,0.7447142857142858,80.074,8.97857142857143,3.0833333333333335
12,EmergingAsia,HKG,8.971599172000001,58419.709918075896,0.933,84.85700000000001,12.0,3.0833333333333335
13,EmergingAsia,IDN,7.142168145,10846.3379517911,0.6940000000000001,71.71600000000002,8.0,9.0
14,EmergingAsia,IND,6.627177736,36256.57339473535,0.64,69.656,6.4,9.0
15,EmergingAsia,LKA,6.489522916,11325.6271659605,0.77,76.97800000000002,10.9,6.0
16,EmergingAsia,MAC,7.268143977166666,36256.57339473535,0.7447142857142858,84.244,8.97857142857143,3.0833333333333335
17,EmergingAsia,MYS,6.9131303960000015,26107.2700234583,0.802,76.156,10.2,5.0
18,EmergingAsia,PHL,7.347101297999999,9153.54352027539,0.6990000000000001,71.23100000000002,9.3,8.0
19,EmergingAsia,SGP,8.820735091,82503.1270143071,0.932,83.62,11.5,-2.0
20,EmergingAsia,SLB,7.268143977166666,36256.57339473535,0.546,72.99600000000002,5.5,8.0
21,EmergingAsia,THA,6.821824859,36256.57339473535,0.755,77.15,7.6,-3.0
22,EmergingAsia,TKM,7.268143977166666,36256.57339473535,0.706,68.191,9.8,-8.0
23,EmergingAsia,TWN,7.883663307000001,36256.57339473535,0.7447142857142858,80.456,8.97857142857143,10.0
24,EmergingAsia,VUT,7.268143977166666,36256.57339473535,0.603,70.47399999999998,6.8,3.0833333333333335
25,EmergingEurope,AZE,6.477059287,17919.084905847692,0.757,73.005,10.7,-7.0
26,EmergingEurope,BGR,7.413846286,18740.1118362172,0.813,75.046,11.8,9.0
27,EmergingEurope,BIH,6.621755881,11716.0206951943,0.768,77.40100000000002,9.7,4.428571428571429
28,EmergingEurope,BLR,6.222585784,16323.461535016699,0.8079999999999999,74.791,12.3,-7.0
29,EmergingEurope,CZE,7.573594723999999,17919.084905847692,0.888,79.376,12.7,9.0
30,EmergingEurope,FRO,7.017590554124999,17919.084905847692,0.8149375,80.666,11.443750000000001,4.428571428571429
31,EmergingEurope,GEO,8.02,9186.409714049909,0.78,73.767,12.8,7.0
32,EmergingEurope,HRV,6.95783489,22162.337257084502,0.831,78.488,11.3,9.0
33,EmergingEurope,HUN,7.226473871,17919.084905847692,0.838,76.875,11.9,10.0
34,EmergingEurope,ISL,7.212059862,17919.084905847692,0.935,82.993,12.4,4.428571428571429
35,EmergingEurope,KAZ,7.118116418,17919.084905847692,0.8,73.597,11.8,-6.0
36,EmergingEurope,POL,7.26956524,26150.4026332509,0.865,78.73,12.3,10.0
37,EmergingEurope,ROU,7.698155057,22645.5384670919,0.8109999999999999,76.054,11.0,9.0
38,EmergingEurope,RUS,6.823958472,24232.5558002071,0.816,72.584,12.0,4.0
39,EmergingEurope,SRB,6.855902529,13018.708130134399,0.787,76.001,11.1,8.0
40,EmergingEurope,TUR,6.821242892999999,24803.9887308016,0.7909999999999999,77.691,8.0,3.0
41,EmergingEurope,UKR,5.969297672000001,8130.399165276121,0.7509999999999999,72.065,11.3,4.0
42,EmergingLatinAmerica,ABW,6.562875216444444,14179.101962704577,0.764,76.293,9.274999999999999,7.0588235294117645
43,EmergingLatinAmerica,ARG,4.839536444,18460.7366472996,0.825,76.667,9.9,9.0
