CountryName,CountryCode,Population,Population Density (# per km2),Urban population (% of total population),Population ages 65 and above (% of total population),GDP per capita (current US$),Obesity Rate (%),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide)
Afghanistan,AFG,38928346,56.93776001,25.495,2.58492694,520.8966027,5.5,0.529079232,4.08,69.13071516,11.5,0.293946407,24433.446
Albania,ALB,2877797,104.6122628,60.319,13.74473591,5268.848504,21.7,1.152906741,19.11,12.1525875,7.53,1.978763312,2935
Algeria,DZA,43851044,17.73007507,72.629,6.362496545,4114.715061,27.4,0.581716794,11.08,15.52482374,7.87,3.735520147,77463
Andorra,AND,77265,163.8425532,88.062,0,42029.76274,25.6,2.409174488,14.25,18.12108169,4.17,5.832906215,0
Angola,AGO,32866272,,,,,8.2,0.424512079,4.78,92.2164421,5.82,,
Argentina,ARG,45195774,16.2585101,91.87,11.11778888,11683.94962,28.3,1.176868831,15.61,56.33369413,5.12,4.781507775,161688
Aruba,ABW,106766,,,,,,,,,,,
Australia,AUS,25499884,3.249129487,86.012,15.65647523,57373.68668,29,3.042002085,12.62,9.071138937,2.86,15.38876602,665384
Austria,AUT,9006398,107.2069267,58.297,19.00156646,51461.95478,20.1,2.228314728,14.13,4.587225585,4.29,6.86986793,130260
Azerbaijan,AZE,10127874,,,,,,,,,,,
Bahamas,BHS,385637,,,,,,,,,,,
Bahrain,BHR,1701575,2017.2737,89.287,2.426333878,24050.75751,29.8,0.642360539,9.89,18.80903443,12.23,23.45540632,57094
Bangladesh,BGD,164689383,1239.579312,36.632,5.15839064,1698.262802,3.6,0.254187684,10.23,32.49877942,13.83,0.47365761,101383.4657
Barbados,BRB,287375,666.6069767,31.147,15.80269396,17949.28151,23.1,1.502144362,6.05,38.73698576,6.18,4.467476521,0
Belarus,BLR,9408400,,,,,,,,,,,
Belgium,BEL,11589623,377.2149273,98.001,18.78874374,47518.63604,22.1,2.129967521,18.44,19.68641753,4.57,8.328159898,140674
Belize,BLZ,397628,16.79399386,45.724,4.736458777,4884.742421,24.1,0.657790338,6.79,42.90143577,5.83,1.400941234,125681.6909
Benin,BEN,11733059,,,,,,,,,,,
Bermuda,BMU,62278,1184.592572,100,0,85748.06541,,1.540409081,11.83,13.13177427,4.33,8.838314988,0
Bhutan,BTN,754388,,,,,,,,,,,
Bolivia,BOL,11673021,10.48014585,69.425,7.191947392,3548.59014,20.2,0.660451291,6.03,65.03915155,6.4,1.90636432,56592
Bosnia and Herzegovina,BIH,3280819,64.92048828,48.245,16.47031747,6065.672708,17.9,1.280815425,22.92,7.179361467,9.11,6.384938819,0
Botswana,BWA,2351627,3.977424876,69.446,4.223874346,8258.641666,18.9,0.53866266,6.33,58.98480094,5.77,3.367451334,6774
Brazil,BRA,212559417,25.06171624,86.569,8.922837832,8920.762105,22.1,0.775327051,12.43,40.05188178,4.91,2.612933521,832683
Brunei,BRN,437479,81.39696395,77.629,4.873147568,31628.32879,14.1,2.287365627,15.27,39.96329111,2.79,22.2291779,11310
Bulgaria,BGR,6948445,,,,,25,1.659590404,18.86,12.95434144,7.14,,
Burkina Faso,BFA,20903273,,,,,5.6,0.454025222,1.83,126.8998112,8.33,,
Burundi,BDI,11890784,,,,,5.4,0.387557281,3.34,121.5234286,7.96,,
Cambodia,KHM,15288489,,,,,,,,,,,
Cameroon,CMR,26545863,53.34398891,56.374,2.728877355,1533.74214,11.4,0.440479926,2.74,116.0201175,6.95,0.308791722,5550
Canada,CAN,37742154,4.075308214,81.411,17.23200668,46232.98962,29.4,4.629727772,17.67,11.57868045,2.8,15.15892722,1475062.586
Cape Verde,CPV,543767,,,,,,,,,,,
Central African Republic,CAF,4666368,,,,,,,,,,,
Chad,TCD,16425864,12.29173364,23.059,2.480518944,728.3432354,6.1,0.378859336,1.13,148.4437073,9.77,0.053407242,0
