GeoID,Population
Brazil / Acre,881935
Brazil / Alagoas,3337357
Brazil / Amapa,845731
Brazil / Amazonas,4144597
Brazil / Bahia,14873064
Brazil / Ceara,9132078
Brazil / Distrito Federal,3015268
Brazil / Espirito Santo,4018650
Brazil / Goias,7018354
Brazil / Maranhao,7075181
Brazil / Mato Grosso,3484466
Brazil / Mato Grosso do Sul,2778986
Brazil / Minas Gerais,21168791
Brazil / Para,8602865
Brazil / Paraiba,4018127
Brazil / Parana,11433957
Brazil / Pernambuco,9557071
Brazil / Piaui,3273227
Brazil / Rio Grande do Norte,3506853
Brazil / Rio Grande do Sul,11377239
Brazil / Rio de Janeiro,17264943
Brazil / Rondonia,1777225
Brazil / Roraima,605761
Brazil / Santa Catarina,7164788
Brazil / Sao Paulo,45919049
Brazil / Sergipe,2298696
Brazil / Tocantins,1572866
