CountryName,RegionName,Date,PredictedDailyNewCases
Aruba,,2020-08-01,0
Aruba,,2020-08-02,0
Aruba,,2020-08-03,0
Aruba,,2020-08-04,0
Afghanistan,,2020-08-01,0
Afghanistan,,2020-08-02,0
Afghanistan,,2020-08-03,0
Afghanistan,,2020-08-04,0
Angola,,2020-08-01,0
Angola,,2020-08-02,0
Angola,,2020-08-03,0
Angola,,2020-08-04,0
Anguilla,,2020-08-01,0
Anguilla,,2020-08-02,0
Anguilla,,2020-08-03,0
Anguilla,,2020-08-04,0
Albania,,2020-08-01,0
Albania,,2020-08-02,0
Albania,,2020-08-03,0
Albania,,2020-08-04,0
Andorra,,2020-08-01,0
Andorra,,2020-08-02,0
Andorra,,2020-08-03,0
Andorra,,2020-08-04,0
United Arab Emirates,,2020-08-01,0
United Arab Emirates,,2020-08-02,0
United Arab Emirates,,2020-08-03,0
United Arab Emirates,,2020-08-04,0
Argentina,,2020-08-01,0
Argentina,,2020-08-02,0
Argentina,,2020-08-03,0
Argentina,,2020-08-04,0
Australia,,2020-08-01,0
Australia,,2020-08-02,0
Australia,,2020-08-03,0
Australia,,2020-08-04,0
Austria,,2020-08-01,0
Austria,,2020-08-02,0
Austria,,2020-08-03,0
Austria,,2020-08-04,0
Azerbaijan,,2020-08-01,0
Azerbaijan,,2020-08-02,0
Azerbaijan,,2020-08-03,0
Azerbaijan,,2020-08-04,0
Burundi,,2020-08-01,0
Burundi,,2020-08-02,0
Burundi,,2020-08-03,0
Burundi,,2020-08-04,0
Belgium,,2020-08-01,0
Belgium,,2020-08-02,0
Belgium,,2020-08-03,0
Belgium,,2020-08-04,0
Benin,,2020-08-01,0
Benin,,2020-08-02,0
Benin,,2020-08-03,0
Benin,,2020-08-04,0
Burkina Faso,,2020-08-01,0
Burkina Faso,,2020-08-02,0
Burkina Faso,,2020-08-03,0
Burkina Faso,,2020-08-04,0
Bangladesh,,2020-08-01,0
Bangladesh,,2020-08-02,0
Bangladesh,,2020-08-03,0
Bangladesh,,2020-08-04,0
Bulgaria,,2020-08-01,0
Bulgaria,,2020-08-02,0
Bulgaria,,2020-08-03,0
Bulgaria,,2020-08-04,0
Bahrain,,2020-08-01,0
Bahrain,,2020-08-02,0
Bahrain,,2020-08-03,0
Bahrain,,2020-08-04,0
Bosnia and Herzegovina,,2020-08-01,0
Bosnia and Herzegovina,,2020-08-02,0
Bosnia and Herzegovina,,2020-08-03,0
Bosnia and Herzegovina,,2020-08-04,0
Belarus,,2020-08-01,0
Belarus,,2020-08-02,0
Belarus,,2020-08-03,0
Belarus,,2020-08-04,0
Belize,,2020-08-01,0
Belize,,2020-08-02,0
Belize,,2020-08-03,0
Belize,,2020-08-04,0
Bermuda,,2020-08-01,0
Bermuda,,2020-08-02,0
Bermuda,,2020-08-03,0
Bermuda,,2020-08-04,0
Bolivia,,2020-08-01,0
Bolivia,,2020-08-02,0
Bolivia,,2020-08-03,0
Bolivia,,2020-08-04,0
Brazil,,2020-08-01,0
Brazil,,2020-08-02,0
Brazil,,2020-08-03,0
Brazil,,2020-08-04,0
Barbados,,2020-08-01,0
Barbados,,2020-08-02,0
Barbados,,2020-08-03,0
Barbados,,2020-08-04,0
Brunei,,2020-08-01,0
Brunei,,2020-08-02,0
Brunei,,2020-08-03,0
Brunei,,2020-08-04,0
Bhutan,,2020-08-01,0
Bhutan,,2020-08-02,0
Bhutan,,2020-08-03,0
Bhutan,,2020-08-04,0
Botswana,,2020-08-01,0
Botswana,,2020-08-02,0
Botswana,,2020-08-03,0
Botswana,,2020-08-04,0
Central African Republic,,2020-08-01,0
Central African Republic,,2020-08-02,0
Central African Republic,,2020-08-03,0
Central African Republic,,2020-08-04,0
Canada,,2020-08-01,0
Canada,,2020-08-02,0
Canada,,2020-08-03,0
Canada,,2020-08-04,0
Switzerland,,2020-08-01,0
Switzerland,,2020-08-02,0
Switzerland,,2020-08-03,0
Switzerland,,2020-08-04,0
Chile,,2020-08-01,0
Chile,,2020-08-02,0
Chile,,2020-08-03,0
Chile,,2020-08-04,0
China,,2020-08-01,0
China,,2020-08-02,0
China,,2020-08-03,0
China,,2020-08-04,0
Cote d'Ivoire,,2020-08-01,0
Cote d'Ivoire,,2020-08-02,0
Cote d'Ivoire,,2020-08-03,0
Cote d'Ivoire,,2020-08-04,0
Cameroon,,2020-08-01,0
Cameroon,,2020-08-02,0
Cameroon,,2020-08-03,0
Cameroon,,2020-08-04,0
Democratic Republic of Congo,,2020-08-01,0
Democratic Republic of Congo,,2020-08-02,0
Democratic Republic of Congo,,2020-08-03,0
Democratic Republic of Congo,,2020-08-04,0
Congo,,2020-08-01,0
Congo,,2020-08-02,0
Congo,,2020-08-03,0
Congo,,2020-08-04,0
Colombia,,2020-08-01,0
Colombia,,2020-08-02,0
Colombia,,2020-08-03,0
Colombia,,2020-08-04,0
Cape Verde,,2020-08-01,0
Cape Verde,,2020-08-02,0
Cape Verde,,2020-08-03,0
Cape Verde,,2020-08-04,0
Costa Rica,,2020-08-01,0
Costa Rica,,2020-08-02,0
Costa Rica,,2020-08-03,0
Costa Rica,,2020-08-04,0
Cuba,,2020-08-01,0
Cuba,,2020-08-02,0
Cuba,,2020-08-03,0
Cuba,,2020-08-04,0
Cayman Islands,,2020-08-01,0
Cayman Islands,,2020-08-02,0
Cayman Islands,,2020-08-03,0
Cayman Islands,,2020-08-04,0
Cyprus,,2020-08-01,0
Cyprus,,2020-08-02,0
Cyprus,,2020-08-03,0
Cyprus,,2020-08-04,0
Czech Republic,,2020-08-01,0
Czech Republic,,2020-08-02,0
Czech Republic,,2020-08-03,0
Czech Republic,,2020-08-04,0
Germany,,2020-08-01,0
Germany,,2020-08-02,0
Germany,,2020-08-03,0
Germany,,2020-08-04,0
Djibouti,,2020-08-01,0
Djibouti,,2020-08-02,0
Djibouti,,2020-08-03,0
Djibouti,,2020-08-04,0
Dominica,,2020-08-01,0
Dominica,,2020-08-02,0
Dominica,,2020-08-03,0
Dominica,,2020-08-04,0
Denmark,,2020-08-01,0
Denmark,,2020-08-02,0
Denmark,,2020-08-03,0
Denmark,,2020-08-04,0
Dominican Republic,,2020-08-01,0
Dominican Republic,,2020-08-02,0
Dominican Republic,,2020-08-03,0
Dominican Republic,,2020-08-04,0
Algeria,,2020-08-01,0
Algeria,,2020-08-02,0
Algeria,,2020-08-03,0
Algeria,,2020-08-04,0
Ecuador,,2020-08-01,0
Ecuador,,2020-08-02,0
Ecuador,,2020-08-03,0
Ecuador,,2020-08-04,0
Egypt,,2020-08-01,0
Egypt,,2020-08-02,0
Egypt,,2020-08-03,0
Egypt,,2020-08-04,0
Eritrea,,2020-08-01,0
Eritrea,,2020-08-02,0
Eritrea,,2020-08-03,0
Eritrea,,2020-08-04,0
Spain,,2020-08-01,0
Spain,,2020-08-02,0
Spain,,2020-08-03,0
Spain,,2020-08-04,0
Estonia,,2020-08-01,0
Estonia,,2020-08-02,0
Estonia,,2020-08-03,0
Estonia,,2020-08-04,0
Ethiopia,,2020-08-01,0
Ethiopia,,2020-08-02,0
Ethiopia,,2020-08-03,0
Ethiopia,,2020-08-04,0
Finland,,2020-08-01,0
Finland,,2020-08-02,0
Finland,,2020-08-03,0
Finland,,2020-08-04,0
Fiji,,2020-08-01,0
Fiji,,2020-08-02,0
Fiji,,2020-08-03,0
Fiji,,2020-08-04,0
Falkland Islands,,2020-08-01,0
Falkland Islands,,2020-08-02,0
Falkland Islands,,2020-08-03,0
Falkland Islands,,2020-08-04,0
France,,2020-08-01,0
France,,2020-08-02,0
France,,2020-08-03,0
France,,2020-08-04,0
Gabon,,2020-08-01,0
Gabon,,2020-08-02,0
Gabon,,2020-08-03,0
Gabon,,2020-08-04,0
United Kingdom,,2020-08-01,0
United Kingdom,,2020-08-02,0
United Kingdom,,2020-08-03,0
United Kingdom,,2020-08-04,0
United Kingdom,England,2020-08-01,0
United Kingdom,England,2020-08-02,0
United Kingdom,England,2020-08-03,0
United Kingdom,England,2020-08-04,0
United Kingdom,Northern Ireland,2020-08-01,0
United Kingdom,Northern Ireland,2020-08-02,0
United Kingdom,Northern Ireland,2020-08-03,0
United Kingdom,Northern Ireland,2020-08-04,0
United Kingdom,Scotland,2020-08-01,0
United Kingdom,Scotland,2020-08-02,0
United Kingdom,Scotland,2020-08-03,0
United Kingdom,Scotland,2020-08-04,0
United Kingdom,Wales,2020-08-01,0
United Kingdom,Wales,2020-08-02,0
United Kingdom,Wales,2020-08-03,0
United Kingdom,Wales,2020-08-04,0
Georgia,,2020-08-01,0
Georgia,,2020-08-02,0
Georgia,,2020-08-03,0
Georgia,,2020-08-04,0
Ghana,,2020-08-01,0
Ghana,,2020-08-02,0
Ghana,,2020-08-03,0
Ghana,,2020-08-04,0
Gibraltar,,2020-08-01,0
Gibraltar,,2020-08-02,0
Gibraltar,,2020-08-03,0
Gibraltar,,2020-08-04,0
Guinea,,2020-08-01,0
Guinea,,2020-08-02,0
Guinea,,2020-08-03,0
Guinea,,2020-08-04,0
Gambia,,2020-08-01,0
Gambia,,2020-08-02,0
Gambia,,2020-08-03,0
Gambia,,2020-08-04,0
Greece,,2020-08-01,0
Greece,,2020-08-02,0
Greece,,2020-08-03,0
Greece,,2020-08-04,0
Greenland,,2020-08-01,0
Greenland,,2020-08-02,0
Greenland,,2020-08-03,0
Greenland,,2020-08-04,0
Guatemala,,2020-08-01,0
Guatemala,,2020-08-02,0
Guatemala,,2020-08-03,0
Guatemala,,2020-08-04,0
Guam,,2020-08-01,0
Guam,,2020-08-02,0
Guam,,2020-08-03,0
Guam,,2020-08-04,0
Guyana,,2020-08-01,0
Guyana,,2020-08-02,0
Guyana,,2020-08-03,0
Guyana,,2020-08-04,0
Hong Kong,,2020-08-01,0
Hong Kong,,2020-08-02,0
Hong Kong,,2020-08-03,0
Hong Kong,,2020-08-04,0
Honduras,,2020-08-01,0
Honduras,,2020-08-02,0
Honduras,,2020-08-03,0
Honduras,,2020-08-04,0
Croatia,,2020-08-01,0
Croatia,,2020-08-02,0
Croatia,,2020-08-03,0
Croatia,,2020-08-04,0
Haiti,,2020-08-01,0
Haiti,,2020-08-02,0
Haiti,,2020-08-03,0
Haiti,,2020-08-04,0
Hungary,,2020-08-01,0
Hungary,,2020-08-02,0
Hungary,,2020-08-03,0
Hungary,,2020-08-04,0
Indonesia,,2020-08-01,0
Indonesia,,2020-08-02,0
Indonesia,,2020-08-03,0
Indonesia,,2020-08-04,0
India,,2020-08-01,0
India,,2020-08-02,0
India,,2020-08-03,0
India,,2020-08-04,0
Ireland,,2020-08-01,0
Ireland,,2020-08-02,0
Ireland,,2020-08-03,0
Ireland,,2020-08-04,0
Iran,,2020-08-01,0
Iran,,2020-08-02,0
Iran,,2020-08-03,0
Iran,,2020-08-04,0
Iraq,,2020-08-01,0
Iraq,,2020-08-02,0
Iraq,,2020-08-03,0
Iraq,,2020-08-04,0
Iceland,,2020-08-01,0
Iceland,,2020-08-02,0
Iceland,,2020-08-03,0
Iceland,,2020-08-04,0
Israel,,2020-08-01,0
Israel,,2020-08-02,0
Israel,,2020-08-03,0
Israel,,2020-08-04,0
Italy,,2020-08-01,0
Italy,,2020-08-02,0
Italy,,2020-08-03,0
Italy,,2020-08-04,0
Jamaica,,2020-08-01,0
Jamaica,,2020-08-02,0
Jamaica,,2020-08-03,0
Jamaica,,2020-08-04,0
Jordan,,2020-08-01,0
Jordan,,2020-08-02,0
Jordan,,2020-08-03,0
Jordan,,2020-08-04,0
Japan,,2020-08-01,0
Japan,,2020-08-02,0
Japan,,2020-08-03,0
Japan,,2020-08-04,0
Kazakhstan,,2020-08-01,0
Kazakhstan,,2020-08-02,0
Kazakhstan,,2020-08-03,0
Kazakhstan,,2020-08-04,0
Kenya,,2020-08-01,0
Kenya,,2020-08-02,0
Kenya,,2020-08-03,0
Kenya,,2020-08-04,0
Kyrgyz Republic,,2020-08-01,0
Kyrgyz Republic,,2020-08-02,0
Kyrgyz Republic,,2020-08-03,0
Kyrgyz Republic,,2020-08-04,0
Cambodia,,2020-08-01,0
Cambodia,,2020-08-02,0
Cambodia,,2020-08-03,0
Cambodia,,2020-08-04,0
South Korea,,2020-08-01,0
South Korea,,2020-08-02,0
South Korea,,2020-08-03,0
South Korea,,2020-08-04,0
Kuwait,,2020-08-01,0
Kuwait,,2020-08-02,0
Kuwait,,2020-08-03,0
Kuwait,,2020-08-04,0
Laos,,2020-08-01,0
Laos,,2020-08-02,0
Laos,,2020-08-03,0
Laos,,2020-08-04,0
Lebanon,,2020-08-01,0
Lebanon,,2020-08-02,0
Lebanon,,2020-08-03,0
Lebanon,,2020-08-04,0
Liberia,,2020-08-01,0
Liberia,,2020-08-02,0
Liberia,,2020-08-03,0
Liberia,,2020-08-04,0
Libya,,2020-08-01,0
Libya,,2020-08-02,0
Libya,,2020-08-03,0
Libya,,2020-08-04,0
Sri Lanka,,2020-08-01,0
Sri Lanka,,2020-08-02,0
Sri Lanka,,2020-08-03,0
Sri Lanka,,2020-08-04,0
Lesotho,,2020-08-01,0
Lesotho,,2020-08-02,0
Lesotho,,2020-08-03,0
Lesotho,,2020-08-04,0
Lithuania,,2020-08-01,0
Lithuania,,2020-08-02,0
Lithuania,,2020-08-03,0
Lithuania,,2020-08-04,0
Luxembourg,,2020-08-01,0
Luxembourg,,2020-08-02,0
Luxembourg,,2020-08-03,0
Luxembourg,,2020-08-04,0
Latvia,,2020-08-01,0
Latvia,,2020-08-02,0
Latvia,,2020-08-03,0
Latvia,,2020-08-04,0
Macao,,2020-08-01,0
Macao,,2020-08-02,0
Macao,,2020-08-03,0
Macao,,2020-08-04,0
Morocco,,2020-08-01,0
Morocco,,2020-08-02,0
Morocco,,2020-08-03,0
Morocco,,2020-08-04,0
Moldova,,2020-08-01,0
Moldova,,2020-08-02,0
Moldova,,2020-08-03,0
Moldova,,2020-08-04,0
Madagascar,,2020-08-01,0
Madagascar,,2020-08-02,0
Madagascar,,2020-08-03,0
Madagascar,,2020-08-04,0
Mexico,,2020-08-01,0
Mexico,,2020-08-02,0
Mexico,,2020-08-03,0
Mexico,,2020-08-04,0
Mali,,2020-08-01,0
Mali,,2020-08-02,0
Mali,,2020-08-03,0
Mali,,2020-08-04,0
Myanmar,,2020-08-01,0
Myanmar,,2020-08-02,0
Myanmar,,2020-08-03,0
Myanmar,,2020-08-04,0
Mongolia,,2020-08-01,0
Mongolia,,2020-08-02,0
Mongolia,,2020-08-03,0
Mongolia,,2020-08-04,0
Mozambique,,2020-08-01,0
Mozambique,,2020-08-02,0
Mozambique,,2020-08-03,0
Mozambique,,2020-08-04,0
Mauritania,,2020-08-01,0
Mauritania,,2020-08-02,0
Mauritania,,2020-08-03,0
Mauritania,,2020-08-04,0
Montserrat,,2020-08-01,0
Montserrat,,2020-08-02,0
Montserrat,,2020-08-03,0
Montserrat,,2020-08-04,0
Mauritius,,2020-08-01,0
Mauritius,,2020-08-02,0
Mauritius,,2020-08-03,0
Mauritius,,2020-08-04,0
Malawi,,2020-08-01,0
Malawi,,2020-08-02,0
Malawi,,2020-08-03,0
Malawi,,2020-08-04,0
Malaysia,,2020-08-01,0
Malaysia,,2020-08-02,0
Malaysia,,2020-08-03,0
Malaysia,,2020-08-04,0
Namibia,,2020-08-01,0
Namibia,,2020-08-02,0
Namibia,,2020-08-03,0
Namibia,,2020-08-04,0
Niger,,2020-08-01,0
Niger,,2020-08-02,0
Niger,,2020-08-03,0
Niger,,2020-08-04,0
Nigeria,,2020-08-01,0
Nigeria,,2020-08-02,0
Nigeria,,2020-08-03,0
Nigeria,,2020-08-04,0
Nicaragua,,2020-08-01,0
Nicaragua,,2020-08-02,0
