name,date,public,country
Liberation Day,2019-02-15,True,AF
World Wildlife Day,2019-03-03,False,AF
Mother's Day,2019-03-08,False,AF
March Equinox,2019-03-20,False,AF
New Year's Day,2019-03-21,True,AF
Mujahideen Victory Day,2019-04-28,True,AF
International Workers' Day,2019-05-01,True,AF
Festival of Breaking the Fast,2019-06-04,True,AF
Father's Day,2019-06-16,False,AF
June Solstice,2019-06-21,False,AF
International Asteroid Day,2019-06-30,False,AF
Nelson Mandela International Day,2019-07-18,False,AF
Day of Arafah,2019-08-10,True,AF
Feast of the Sacrifice,2019-08-11,True,AF
Independence Day,2019-08-19,True,AF
Ashura,2019-09-09,True,AF
September Equinox,2019-09-23,False,AF
Birth of the Prophet,2019-11-09,True,AF
December Solstice,2019-12-22,False,AF
New Year's Eve,2019-12-31,False,AF
New Year's Day,2019-01-01,True,AX
Epiphany,2019-01-06,True,AX
March Equinox,2019-03-20,False,AX
Demilitarization Day,2019-03-30,True,AX
Good Friday,2019-04-19,True,AX
Easter,2019-04-21,True,AX
Easter Monday,2019-04-22,True,AX
Walpurgis Night,2019-04-30,True,AX
Labor Day,2019-05-01,True,AX
Mother's Day,2019-05-12,False,AX
Feast of the Ascension of Jesus Christ,2019-05-30,True,AX
Autonomy Day,2019-06-09,True,AX
Pentecost,2019-06-09,True,AX
Pentecost Monday,2019-06-10,True,AX
Midsummer Day,2019-06-15,True,AX
June Solstice,2019-06-21,False,AX
Midsummer Eve,2019-06-21,True,AX
September Equinox,2019-09-23,False,AX
All Saints' Day,2019-11-02,True,AX
Father's Day,2019-11-10,False,AX
Independence Day,2019-12-06,True,AX
December Solstice,2019-12-22,False,AX
Christmas Eve,2019-12-24,True,AX
Christmas Day,2019-12-25,True,AX
Boxing Day,2019-12-26,True,AX
Saint Stephen's Day,2019-12-26,True,AX
New Year's Eve,2019-12-31,False,AX
New Year's Day,2019-01-01,True,AL
New Year's Day Holiday,2019-01-02,True,AL
Epiphany,2019-01-06,False,AL
League of Lezhë Day,2019-03-02,False,AL
World Wildlife Day,2019-03-03,False,AL
Teachers' Day,2019-03-07,False,AL
Mother's Day,2019-03-08,False,AL
Summer Day,2019-03-14,True,AL
March Equinox,2019-03-20,False,AL
Iranian New Year's Day,2019-03-21,True,AL
Easter,2019-04-21,True,AL
Easter Monday,2019-04-22,True,AL
Orthodox Easter,2019-04-28,True,AL
Orthodox Easter Monday,2019-04-29,True,AL
Labor Day,2019-05-01,True,AL
Children's Day,2019-06-01,False,AL
Festival of Breaking the Fast,2019-06-04,True,AL
Father's Day,2019-06-16,False,AL
June Solstice,2019-06-21,False,AL
International Asteroid Day,2019-06-30,False,AL
Nelson Mandela International Day,2019-07-18,False,AL
Feast of the Sacrifice,2019-08-11,True,AL
Assumption of Mary,2019-08-15,False,AL
September Equinox,2019-09-23,False,AL
Mother Teresa Day,2019-10-19,True,AL
The Emergence of the KLA,2019-11-12,False,AL
Alphabet Day,2019-11-22,False,AL
Constitution Day,2019-11-28,False,AL
Independence Day,2019-11-28,True,AL
Liberation Day,2019-11-29,True,AL
Saint Nicholas Day,2019-12-06,False,AL
Youth Day,2019-12-08,True,AL
December Solstice,2019-12-22,False,AL
Christmas Eve,2019-12-24,False,AL
Christmas Day,2019-12-25,True,AL
New Year's Eve,2019-12-31,False,AL
New Year's Day,2019-01-01,True,DZ
Amazigh New Year's Day,2019-01-12,True,DZ
World Wildlife Day,2019-03-03,False,DZ
March Equinox,2019-03-20,False,DZ
Labor Day,2019-05-01,True,DZ
Mother's Day,2019-05-26,False,DZ
Festival of Breaking the Fast,2019-06-04,True,DZ
Independence Day,2019-06-05,True,DZ
Father's Day,2019-06-16,False,DZ
June Solstice,2019-06-21,False,DZ
International Asteroid Day,2019-06-30,False,DZ
Nelson Mandela International Day,2019-07-18,False,DZ
Feast of the Sacrifice,2019-08-11,True,DZ
Islamic New Year's Day,2019-08-31,True,DZ
Ashura,2019-09-09,True,DZ
September Equinox,2019-09-23,False,DZ
Revolution Day,2019-11-01,True,DZ
Birth of the Prophet,2019-11-09,True,DZ
December Solstice,2019-12-22,False,DZ
New Year's Eve,2019-12-31,False,DZ
New Year's Day,2019-01-01,True,AS
"Martin Luther King, Jr. Day",2019-01-21,True,AS
Presidents' Day,2019-02-18,True,AS
March Equinox,2019-03-20,False,AS
Flag Day,2019-04-17,True,AS
Good Friday,2019-04-19,True,AS
Easter,2019-04-21,False,AS
Mother's Day,2019-05-12,False,AS
Memorial Day,2019-05-27,True,AS
June Solstice,2019-06-21,False,AS
Independence Day,2019-07-04,True,AS
Manu'a Cession Day,2019-07-16,True,AS
Father's Day,2019-08-11,False,AS
Labor Day,2019-09-02,True,AS
September Equinox,2019-09-23,False,AS
Columbus Day,2019-10-14,True,AS
Veterans Day,2019-11-11,True,AS
